Title,Author,Num_shelved_booktok,Goodreads URL,Image URL,avg rating,num_ratings,year_published
"King of Sloth (Kings of Sin, #4)",Ana Huang,30,https://www.goodreads.com/book/show/75491526-king-of-sloth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701973993l/75491526._SY75_.jpg,4.00,"117,076 ",  2024
"A Long Time Coming (Cane Brothers, #3)",Meghan Quinn,30,https://www.goodreads.com/book/show/62626163-a-long-time-coming,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1672801457l/62626163._SY75_.jpg,4.26,"83,592 ",  2023
"Lucky Hit (Swift Hat-Trick Trilogy, #1)",Hannah Cowan,30,https://www.goodreads.com/book/show/58639437-lucky-hit,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627334317l/58639437._SY75_.jpg,3.62,"21,724 ",
Meet Me at the Lake (Paperback),Carley Fortune,30,https://www.goodreads.com/book/show/61797464-meet-me-at-the-lake,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664246880l/61797464._SY75_.jpg,3.69,"265,373 ",  2023
Too Much (Hayes Brothers #1),I.A. Dice,30,https://www.goodreads.com/book/show/62096763-too-much,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661585290l/62096763._SY75_.jpg,3.79,"14,713 ",  2022
"When She Unravels (The Fallen, #1)",Gabrielle Sands,30,https://www.goodreads.com/book/show/61674305-when-she-unravels,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658649992l/61674305._SY75_.jpg,3.97,"25,837 ",  2022
"A Warrior's Fate (Wolves of Morai, #1)",Melissa Kieran,30,https://www.goodreads.com/book/show/61667020-a-warrior-s-fate,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658594988l/61667020._SX50_.jpg,3.82,"4,514 ",  2022
"The Divine and the Cursed (The Divine and the Cursed, #1)",J.E. Reed,30,https://www.goodreads.com/book/show/61182210-the-divine-and-the-cursed,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1692774687l/61182210._SY75_.jpg,3.83,"8,097 ",
Flowers For The Devil (Kindle Edition),Vlad Kahany,30,https://www.goodreads.com/book/show/60488163-flowers-for-the-devil,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1645715275l/60488163._SX50_.jpg,3.98,"4,197 ",
Still Missing (Hardcover),Chevy Stevens,30,https://www.goodreads.com/book/show/7159515-still-missing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1260468195l/7159515._SY75_.jpg,4.00,"95,849 ",  2010
"The Confidence of Wildflowers (Wildflower Duet, #1)",Micalea Smeltzer,30,https://www.goodreads.com/book/show/60444543-the-confidence-of-wildflowers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1645201154l/60444543._SY75_.jpg,4.08,"44,834 ",  2022
