Title,Author,Num_shelved_booktok,Goodreads URL,Image URL,avg rating,num_ratings,year_published,genre,num_pages,format,key
Gone Girl,Gillian Flynn,35,https://www.goodreads.com/book/show/19288043-gone-girl,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554086139l/19288043._SY75_.jpg,4.14,"3,192,463 ",2012.0,Fiction,415 pages, Paperback,gonegirlgillianflynn
Black Sun,Rebecca Roanhorse,35,https://www.goodreads.com/book/show/50892360-black-sun,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601212809l/50892360._SY75_.jpg,4.19,"47,550 ",2020.0,Fantasy,454 pages, Hardcover,blacksunrebeccaroanhorse
The Worst Best Man,Mia Sosa,35,https://www.goodreads.com/book/show/43801254-the-worst-best-man,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576628668l/43801254._SY75_.jpg,3.55,"71,456 ",2020.0,Romance,368 pages, ebook,theworstbestmanmiasosa
The Name of the Wind,Patrick Rothfuss,35,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1704917687l/186074._SY75_.jpg,4.52,"995,805 ",2007.0,Fantasy,662 pages, Hardcover,thenameofthewindpatrickrothfuss
Hothouse Flower,Krista Ritchie,35,https://www.goodreads.com/book/show/60690795-hothouse-flower,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1648245685l/60690795._SY75_.jpg,4.27,"65,198 ",2014.0,Romance,479 pages, Kindle Edition,hothouseflowerkristaritchie
The Unbecoming of Mara Dyer,Michelle Hodkin,35,https://www.goodreads.com/book/show/11408650-the-unbecoming-of-mara-dyer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336655755l/11408650._SX50_.jpg,4.02,"186,327 ",2011.0,Young Adult,456 pages, Kindle Edition,theunbecomingofmaradyermichellehodkin
Fall of Ruin and Wrath,Jennifer L. Armentrout,34,https://www.goodreads.com/book/show/65214365-fall-of-ruin-and-wrath,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677160116l/65214365._SX50_.jpg,4.0,"58,530 ",2023.0,Fantasy,416 pages, Hardcover,fallofruinandwrathjenniferlarmentrout
Dante,Sadie Kincaid,34,https://www.goodreads.com/book/show/67388177-dante,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1682620223l/67388177._SY75_.jpg,3.93,"53,103 ",,Romance,350 pages, Kindle Edition,dantesadiekincaid
The Pucking Wrong Number,C.R. Jane,34,https://www.goodreads.com/book/show/123414004-the-pucking-wrong-number,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688010577l/123414004._SX50_.jpg,3.55,"56,589 ",2023.0,Sports Romance,390 pages, Kindle Edition,thepuckingwrongnumbercrjane
The Darkest Note,Nelia Alarcon,34,https://www.goodreads.com/book/show/61285054-the-darkest-note,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655159562l/61285054._SY75_.jpg,3.72,"19,981 ",2022.0,Romance,325 pages, Kindle Edition,thedarkestnoteneliaalarcon
